"Spectral Shield Throw",盾靈投擲
"Summon Raging Spirit",召喚憤怒狂靈
"Flame Surge",怒焰奔騰
Desecrate,褻瀆
"Flesh Offering",血肉奉獻
"Bone Offering",骸骨奉獻
"Spirit Offering",靈魂奉獻
"Glacial Cascade",冰川之刺
Convocation,號召
"Vaal Fireball",瓦爾．火球
"Vaal Arc",瓦爾．電弧
"Vaal Spark",瓦爾．電球
"Vaal Burning Arrow",瓦爾．燃燒箭矢
"Vaal Molten Shell",瓦爾．熔岩護盾
"Vaal Lightning Warp",瓦爾．閃電傳送
"Vaal Immortal Call",瓦爾．不朽怒嚎
"Vaal Power Siphon",瓦爾．力量抽取
"Vaal Cyclone",瓦爾．旋風斬
"Vaal Ice Nova",瓦爾．冰霜新星
"Wand Teleport",法杖傳送
"Vaal Detonate Dead",瓦爾．屍體爆破
"Vaal Ground Slam",瓦爾．裂地之擊
"Vaal Rain of Arrows",瓦爾．箭雨
"Vaal Cold Snap",瓦爾．霜暴
"Vaal Spectral Throw",瓦爾．靈體投擲
"Vaal Lightning Strike",瓦爾．閃電打擊
"Vaal Heavy Strike",瓦爾．沉重之擊
"Vaal Double Strike",瓦爾．雙重打擊
"Vaal Glacial Hammer",瓦爾．冰霜之錘
"Vaal Summon Skeletons",瓦爾．召喚骷髏
"Vaal Storm Call",瓦爾．風暴呼喚
"Vaal Reave",瓦爾．衝擊波
"Molten Strike",熔岩之擊
"Vaal Clarity",瓦爾．清晰
"Vaal Grace",瓦爾．優雅
"Vaal Discipline",瓦爾．紀律
"Vaal Haste",瓦爾．迅捷
"Vaal FireTrap",瓦爾．火焰陷阱
"Vaal Sweep",瓦爾．橫掃
"Vaal Righteous Fire",瓦爾．正義之火
"Vaal Breach",瓦爾．裂痕
"Vaal Flameblast",瓦爾．烈焰爆破
"Pyroclast Mine",炎爆新星地雷
"Tornado Shot",龍捲射擊
"Vaal Lightning Trap",瓦爾．閃電陷阱
"Herald of Blood",赤血之捷
"Herald of Ash",灰燼之捷
"Herald of Ice",冰霜之捷
"Herald of Thunder",閃電之捷
"Herald of Agony",苦痛之捷
"Herald of Purity",純淨之捷
"Poacher's Mark",盜獵者印記
"Lightning Tendrils",電能釋放
"Lightning Circle",雷霆之環
"Lightning Channel",閃電鏈結
"Mirror Arrow",魅影射擊
"Blink Arrow",閃現射擊
"Kinetic Blast",力量爆破
"Touch of God",天譴之拳
"Summon Chaos Golem",召喚混沌魔像
"Summon Ice Golem",召喚寒冰魔像
"Summon Flame Golem",召喚烈焰魔像
"Summon Lightning Golem",召喚閃電魔像
"Ice Crash",寒冰衝擊
"Rallying Cry",激勵戰吼
"Infernal Cry",煉獄戰吼
"Seismic Cry",裂地戰吼
"Detonate Mines",引爆地雷
"Flame Dash",烈焰衝刺
"Frost Blades",冰霜之刃
"Vigilant Strike",戒備打擊
"Rolling Magma",熔岩翻騰
"Ice Trap",冰凍陷阱
"Wild Strike",野性打擊
"Galvanic Arrow",電流箭矢
"Blast Rain",爆裂箭雨
Bladefall,虛空刀雨
"Siege Ballista",攻城炮台
"Static Tether",靜電鎖鏈
"Blade Vortex",飛刃風暴
"New Blade Vortex",新飛刃風暴
"Vaal Blade Vortex",瓦爾．飛刃風暴
"Frost Bomb",寒霜爆
"Orb of Storms",風暴漩渦
"Summon Stone Golem",召喚巨石魔像
"Righteous Lightning",正義怒雷
Earthquake,震地
Contagion,瘟疫
Wither,死亡凋零
Blight,萎滅
"Essence Drain",靈魂吸取
"Shadow Blades",幻影刀刃
Sunder,大地震擊
Frostbolt,寒冰彈
Vortex,漩渦
"Ancestral Protector",先祖衛士
"Ancestral Blademaster",先祖大劍師
"Ancestral Warchief",先祖戰士長
"Scorching Ray",熾灼奔流
"Dark Pact",暗夜血契
"Storm Burst",風爆
"Infernal Sweep",煉獄襲擊
Cremation,熔炎送葬
Bodyswap,屍術傳送
"Spectral Spinning Weapon",靈製武器
"Tectonic Slam",破體之擊
Vulnerability,脆弱
"Capture Monster",去吧！捕獸網
"Explosive Trap",爆裂陷阱
"Siphoning Trap",虹吸陷阱
"Flamethrower Trap",噴火陷阱
"Lightning Spire Trap",鋒雷陷阱
"Seismic Trap",地裂陷阱
"Vaal Flesh Offering",瓦爾．血肉奉獻
"Vaal Earthquake",瓦爾．震地
"Vaal Blight",瓦爾．萎滅
"Vaal Ancestral Warchief",瓦爾．先祖戰士長
"Consecrated Path",奉獻之路
Smite,雷鳴重擊
"Scourge Arrow",天譴之箭
"Toxic Rain",腐蝕毒雨
"Summon Holy Relic",召喚聖物
"Winter Orb",凜冬之球
"Rending Steel",鋼之裂化
"Lancing Steel",鋼之突刺
"Storm Brand",風暴烙印
"War Banner",征戰之旗
"Dread Banner",恐懼之旗
"Shattering Steel",鋼之碎擊
"Armageddon Brand",末日烙印
"Brand Recall",烙印呼喚
"Purifying Flame",淨化烈焰
Soulrend,靈體撕裂
Bane,災厄
Stormbind,風暴術符
"Divine Ire",聖怒
"Wave of Conviction",信念浪湧
Zealotry,狂熱
Malevolence,惡意
Steelskin,鋼筋鐵骨
Dash,幻步
Bladestorm,旋天劍舞
"Blood and Sand",血腥沙戮
Berserk,狂戰士
Perforate,裂地刺穿
"Chain Hook",奪魂勾索
Frostblink,霜漣之瞬
Precision,精準輔助
"Flesh and Stone",血肉骸骨
Pride,驕傲
"Cobra Lash",毒蛇鞭笞
"Summon Carrion Golem",召喚食腐魔像
"Withering Step",凋零之步
"Plague Bearer",病疫之難
"Stormblast Mine",風暴地雷
"Summon Skitterbots",召喚探測機獸
"Pestilent Strike",瘟疫打擊
"Venom Gyre",猛毒迴旋
"Shrapnel Ballista",彈片砲塔
"Ensnaring Arrow",誘捕箭矢
"Artillery Ballista",火砲砲塔
Spellslinger,法術回音
"Arcane Cloak",秘能披風
"Kinetic Bolt",力量穿引
"Blade Blast",劍刃爆破
"Elemental Projectiles",元素投射物
"Arcanist Brand",奧術烙印
"Intimidating Cry",威嚇戰吼
"Ancestral Cry",先祖戰吼
"Penance Brand",贖罪烙印
"Wintertide Brand",冬潮烙印
Earthshatter,碎地重擊
"General's Cry",將軍戰吼
"Blazing Salvo",熾熱魔炮
"Void Sphere",虛無玉
"Crackling Lance",碎雷電閃
"Frost Shield",寒霜護盾
"Splitting Steel",鋼之裂化
"Sigil of Power",咒符之力
"Flame Wall",烈焰之牆
Hexblast,咒術枯萎
"Flammable Shot",燃燒射擊
Hydrosphere,水弒界
"Death Aura",死亡光環
Envy,忌妒
"Gluttony of Elements",元素暴食
"Blinding Aura",致盲光環
Exsanguinate,抽血
"Corrupting Fever",腐化潮
Reap,收割
"Petrified Blood",石化之血
"Defiance Banner",反抗之旗
"Voltaxic Burst",魔痕爆發
"Rage Vortex",盛怒漩渦
"Spectral Helix",靈體旋武
"Battlemage's Cry",戰法戰吼
Absolution,赦免
Ambush,伏擊
"Forbidden Rite",禁忌儀式
Manabond,魔能束縛
"Blade Trap",刀鋒陷阱
"Storm Rain",暴風雷雨
"Shield Crush",重盾粉碎
"Blood Offering",鮮血奉獻
Boneshatter,碎骨
"Summon Reaper",召喚奪魂鐮
"Explosive Concoction",爆裂物
"Eye of Winter",凜冬之眼
"Poisonous Concoction",毒藥
"Temporal Rift",時空裂隙
Tornado,龍捲風
"Energy Blade",能量之刃
"Soul Link",連結：靈魂
"Flame Link",連結：烈焰
"Vampiric Link",連結：吸血
"Protective Link",連結：保護
"Intuitive Link",連結：直覺
"Destructive Link",連結：破壞
"Lightning Conduit",導雷
"Galvanic Field",電光領域
"Alchemist's Mark",煉金術士印記
"Volcanic Fissure",炎火脈動
"Vaal Flicker Strike",瓦爾．閃現打擊
"Vaal Molten Strike",瓦爾．熔岩之擊
"Frozen Legion",戰亂．凍結
"Vaal Cleave",瓦爾．劈砍
"Vaal Volcanic Fissure",瓦爾．炎火脈動
"Vaal Caustic Arrow",瓦爾．腐蝕箭矢
"Vaal Venom Gyre",瓦爾．猛毒迴旋
"Vaal Smite",瓦爾．雷鳴重擊
"Vaal Blade Flurry",瓦爾．刀鋒亂舞
"Added Fire Damage",附加火焰傷害輔助
"Faster Attacks",快速攻擊輔助
"Greater Multiple Projectiles",高階多重投射輔助
"Lesser Multiple Projectiles",低階多重投射輔助
"Greater Volley",高階齊射輔助
"Faster Projectiles",快速投射輔助
"Added Cold Damage",附加冰冷傷害輔助
"Additional Accuracy",額外命中輔助
"Increased Area of Effect",增加範圍輔助
"Added Lightning Damage",附加閃電傷害輔助
Inspiration,啟發
"Increased Critical Strikes",增加暴擊率輔助
"Increased Critical Damage",增加暴擊傷害輔助
Knockback,擊退輔助
"Life Leech",生命偷取輔助
"Mana Leech",魔力偷取輔助
"Added Chaos Damage",附加混沌傷害輔助
Stun,擊暈輔助
Pierce,穿透
Trap,陷阱輔助
"Melee Physical Damage",近戰物理傷害輔助
"Item Quantity",物品數量增幅輔助
"Item Rarity",物品稀有度增幅輔助
"Faster Casting",快速施放輔助
"Concentrated Effect",集中效應
"Minion Damage",召喚物傷害輔助
"Increased Duration",持續時間延長輔助
"Cold to Fire",寒冰轉烈焰輔助
Combustion,燃燒輔助
"Minion Speed",召喚物速度輔助
"Minion Life",召喚物生命輔助
"Elemental Damage with Attacks",元素攻擊傷害輔助
Bloodlust,嗜血
"Life Gain on Hit",擊中生命回復輔助
"Elemental Proliferation",元素擴散輔助
Arrogance,傲慢輔助
"Culling Strike",撲殺
"Point Blank",零點射擊輔助
"Iron Grip",鋼鐵之握輔助
"Iron Will",鋼鐵意志輔助
"Damage on Full Life",滿血傷害輔助
"Spell Totem",法術圖騰輔助
"Blastchain Mine",連鎖爆破地雷輔助
"Chance to Flee",機率逃跑輔助
Blind,致盲
"Ballista Totem",砲塔圖騰輔助
"Fire Penetration",火焰穿透
"Cold Penetration",冰冷穿透
"Lightning Penetration",閃電穿透
"Elemental Penetration",元素穿透輔助
Chain,連鎖
"Split Projectiles",投射物分裂輔助
Fork,分岔
"Return Projectiles",投射物歸返輔助
Multistrike,多重打擊輔助
"Spell Echo",法術迴響
"Melee Splash",近戰傷害擴散輔助
"Power Charge On Critical",暴擊獲得暴擊球輔助
"Burning Damage",燃燒傷害輔助
"Elemental Army",元素軍隊
Hextouch,咒術降臨輔助
"Cast On Critical Strike",暴擊時施放輔助
"Cast on Melee Kill",近戰擊殺時施放
"Multiple Traps",多重陷阱輔助
Empower,賦予輔助
"Endurance Charge on Melee Stun",近戰擊暈獲得耐力球輔助
"Slower Projectiles",投射物減速輔助
"Less Duration",持續時間縮短輔助
"Cast on Death",死亡時施放
"Cast when Damage Taken",受傷時施放
"Cast when Stunned",暈眩時施放
Enhance,增幅輔助
"Vicious Projectiles",猛毒投射物輔助
Enlighten,啟蒙輔助
"Block Chance Reduction",減少格擋率輔助
Generosity,和善輔助
"Physical to Lightning",物理轉閃電輔助
Blasphemy,瀆神
Fortify,護體輔助
"Ice Bite",霜咬
Hypothermia,急凍
Innervate,亢奮
"Trap and Mine Damage",陷阱及地雷傷害輔助
"Critical Strike Affliction",暴擊苦痛輔助
"Void Manipulation",虛空操縱輔助
"Controlled Destruction",精準破壞
"Swift Affliction",極速苦痛
"Cluster Traps",散彈陷阱輔助
"Elemental Focus",元素專注
Minefield,地雷網輔助
"Advanced Traps",進階陷阱輔助
"Cast while Channelling",引導時施放
"Vaal Soul Harvesting",瓦爾．靈魂收割
"Ignite Proliferation",點燃擴散輔助
"Chance to Bleed",機率流血輔助
"Chance to Poison",機率中毒輔助
"Deadly Ailments",致命異常輔助
"Lesser Reduced Mana Cost",低階魔力減免輔助
Decay,腐化輔助
Efficacy,效能輔助
"Vile Toxins",罪惡毒素輔助
Maim,癱瘓
Immolate,犧牲
"Unbound Ailments",無邊異能輔助
Brutality,野性殘暴
Ruthless,無情
Onslaught,猛攻輔助
"Arcane Surge",秘能波動
"Infused Channelling",注入引導輔助
Volley,齊射輔助
"Spell Cascade",秘能爆發
"Ancestral Call",先祖怒嚎輔助
"Summon Phantasm",召喚幻影輔助
"Mirage Archer",幻影射手輔助
"Charged Traps",陷阱充能輔助
"Charged Mines",地雷充能輔助
"Withering Touch",凋零之觸
Bonechill,寒冰刺骨輔助
"Multiple Totems",多重圖騰輔助
"Energy Leech",能量偷取輔助
Intensify,強化輔助
Unleash,釋放
"Close Combat",近身戰
Shockwave,震波輔助
Impale,穿刺
Pulverise,磨鍊輔助
Rage,盛怒
"Feeding Frenzy",豢養狂熱
Predator,掠奪者輔助
Nightblade,夜刃輔助
"Meat Shield",肉盾
"High-Impact Mine",高能地雷輔助
"Swift Assembly",迅速組裝輔助
"Arrow Nova",箭矢新星輔助
"Awakened Added Fire Damage",覺醒．附加火焰傷害輔助
"Awakened Ancestral Call",覺醒．先祖怒嚎輔助
"Awakened Brutality",覺醒．殘虐輔助
"Awakened Burning Damage",覺醒．燃燒傷害輔助
"Awakened Elemental Damage with Attacks",覺醒．元素攻擊傷害輔助
"Awakened Fire Penetration",覺醒．火焰穿透輔助
"Awakened Generosity",覺醒．和善輔助
"Awakened Melee Physical Damage",覺醒．近戰物理傷害輔助
"Awakened Melee Splash",覺醒．近戰傷害擴散輔助
"Awakened Multistrike",覺醒．多重打擊輔助
"Awakened Added Cold Damage",覺醒．附加冰冷傷害輔助
"Awakened Arrow Nova",覺醒．箭矢新星輔助
"Awakened Cast On Critical Strike",覺醒．暴擊時施放輔助
"Awakened Chain",覺醒．連鎖輔助
"Awakened Cold Penetration",覺醒．冰冷穿透輔助
"Awakened Deadly Ailments",覺醒．致命異常輔助
"Awakened Fork",覺醒．分裂輔助
"Awakened Greater Multiple Projectiles",覺醒．高階多重投射輔助
"Awakened Swift Affliction",覺醒．極速苦痛輔助
"Awakened Void Manipulation",覺醒．虛空操縱輔助
"Awakened Vicious Projectiles",覺醒．猛毒投射物輔助
"Awakened Added Chaos Damage",覺醒．附加混沌傷害輔助
"Awakened Added Lightning Damage",覺醒．附加閃電傷害輔助
"Awakened Blasphemy",覺醒．詛咒光環輔助
"Awakened Cast While Channelling",覺醒．引導時施放輔助
"Awakened Controlled Destruction",覺醒．精準破壞輔助
"Awakened Hextouch",覺醒．咒術降臨輔助
"Awakened Elemental Focus",覺醒．元素集中輔助
"Awakened Increased Area of Effect",覺醒．增加範圍效果輔助
"Awakened Lightning Penetration",覺醒．閃電穿透輔助
"Awakened Minion Damage",覺醒．召喚物傷害輔助
"Awakened Spell Cascade",覺醒．秘能爆發輔助
"Awakened Spell Echo",覺醒．施放迴響輔助
"Awakened Unbound Ailments",覺醒．無邊異能輔助
"Awakened Unleash",覺醒．釋放輔助
"Awakened Empower",覺醒．賦予輔助
"Awakened Enlighten",覺醒．啟蒙輔助
"Awakened Enhance",覺醒．增幅輔助
"Infernal Legion",煉獄軍團
Archmage,大法師
"Second Wind",恢復
"Fist of War",拳霸
Swiftbrand,迅速烙印輔助
"Urgent Orders",緊急詔令輔助
"Impending Doom",末日厄運
Pinpoint,精確輔助
Trinity,三體輔助
Bloodthirst,渴血輔助
Cruelty,殘酷輔助
Lifetap,活栓
Earthbreaker,地破輔助
"Focused Ballista",專注砲塔輔助
Behead,斬首
"Divine Blessing",神聖祝福輔助
"Mark On Hit",擊中時印記輔助
"Eternal Blessing",永恆祝福輔助
Overcharge,強化聚能
"Cursed Ground",詛咒地面
"Hex Bloom",咒術綻放
"Vaal Arctic Armour",瓦爾．極地裝甲
"Vaal Reap",瓦爾．收割
"Vaal Animate Weapon",瓦爾．幻化武器
"Vaal Lightning Arrow",瓦爾．閃電箭矢
"Vaal Absolution",瓦爾．赦免
"Vaal Domination",瓦爾．霸氣
"Vaal Ice Shot",瓦爾．冰霜射擊
"Vaal Firestorm",瓦爾．烈炎風暴
"Vaal Rejuvenation Totem",瓦爾．回春圖騰
"Vaal Split Arrow",瓦爾．分裂箭矢
Momentum,氣勢
"Manaforged Arrows",魔改箭矢輔助
"Prismatic Burst",三相爆發輔助
"Playtest Attack",測試攻擊
"Playtest Spell",測試法術
"Playtest Slam",測試重擊
Quickstep,迅捷步伐
"Returning Projectiles",投射物返回輔助
Trauma,創傷輔助
Spellblade,魔刃輔助
Devour,吞噬輔助
"Fresh Meat",鮮肉輔助
Flamewood,焚木輔助
"Corrupting Cry",汙染戰吼
"Guardian's Blessing",守護者的祝福輔助
Sacrifice,獻祭
"Frigid Bond",冰寒之繫輔助
"Locus Mine",定位地雷輔助
Sadism,虐待輔助
"Controlled Blaze",精準烈火輔助
Volatility,易變輔助
Automation,自動化
"Call to Arms",武裝召喚
"Sacred Wisps",聖潔妖精輔助
"Glacial Shield Swipe",冰川盾擊
"Crushing Fist",粉碎之拳
Swordstorm,劍刃風暴
Eviscerate,剔骨
"Divine Retribution",神聖制裁
"Vengeful Cry",復仇之嚎
Autoexertion,自動竭盡
"More Duration",持續時間延長輔助
Overexertion,竭盡全力輔助
"Expert Retaliation",專家復仇輔助
Rupture,殘破
"Spectre: {0}",幽魂：{0}
"Skeletal Warrior",骷髏戰士
"Skeletal Reaver",骷髏掠奪者
"Skeletal Brute",骷髏巨獸
"Skeletal Sniper",骷髏狙擊手
"Skeletal Frost Mage",骷髏霜寒法師
"Skeletal Storm Mage",骷髏風暴法師
"Skeletal Arsonist",骷髏縱火者
"Skeletal Cleric",骷髏牧師
"Armour Breaker",護甲碎擊
"Falling Thunder",崩雷鳴
"Rapid Assault",極速進攻
"Whirling Slash",迴旋斬
Spearfield,長鋒之錐
"Storm Spear",風暴長鋒
"Blazing Lance",熾烈之槍
"Whirling Assault",迴旋擊
"Rolling Slam",翻騰重擊
"Escape Shot",逃脫之矢
"Supercharged Slam",超載重擊
"Wind Blast",破風爆裂
"Wave of Frost",寒冰波
"Ice Strike",冰擊
Maul,重錘
"Chaos Bolt",混沌弩箭
Firebolt,火彈
Comet,彗星
Consecrate,奉獻
"Ripwire Ballista",撕裂砲塔
"Mana Tempest",魔力暴風
"Killing Palm",摧命之掌
"Shattering Palm",粉碎之掌
Volcano,火山
"Summon Wolf",召喚狼
"Spiral Volley",螺旋之弦
"Lightning Bolt",雷彈
Rampage,暴怒
"Lightning Storm",閃電風暴
"Furious Slam",狂暴重擊
"Coming Soon",敬請期待
"Lingering Illusion",殘留幻象
"Ghost Dance",鬼魂之舞
"Bind Spectre",束縛幽魂
Shroud,幽影
"Pain Offering",劇痛奉獻
"Tempest Flurry",暴風亂舞
"Staggering Palm",撼敵之掌
"Charged Staff",充能長杖
"Siphoning Strike",虹吸打擊
"Tempest Bell",風暴之鐘
"Frozen Locus",寒冰軌跡
Bonestorm,骨之風暴
"Bone Cage",骨牢
"Detonating Arrow",爆破箭矢
"Poisonburst Arrow",毒爆箭矢
"Toxic Growth",毒素植栽
"Stormcaller Arrow",風暴呼喚箭矢
"Lightning Rod",雷霆之杖
"Gas Arrow",毒氣箭矢
"Solar Orb",日耀球
"Electrocuting Arrow",電極箭矢
"Perfect Strike",完美打擊
"Raise Shield",展開護盾
"Resonating Shield",共鳴之盾
"Mana Remnants",魔力痕跡
"Magma Barrier",熔岩屏障
"Freezing Shards",冰凍裂片
"Vine Arrow",藤蔓箭矢
"Summon Rhoa Mount",召喚恐喙鳥座騎
Decompose,分解
"Raging Spirits",怒炎之靈
"Detonate Minion",引爆召喚物
"Storm Surge",風暴洶湧
"Wind Dancer",疾風之舞
"Profane Ritual",粗陋祭祀
"Soul Offering",靈魂獻祭
"Dark Effigy",黑暗雕像
"Grim Feast",冷酷之宴
"Scavenged Plating",拾荒者護板
"Spinning Inferno",旋轉獄火
"Mana Drain",魔力吸取
"Bone Blast",骨之爆破
Blink,閃現
"Molten Blast",熔火爆破
Malice,絕滅恨惡
"Hammer of the Gods",眾神之錘
"Living Bomb",鮮活炸彈
Stampede,踐踏
"Shield Wall",盾牆
"Shielding Cry",防護戰吼
"Ember Fusillade",餘燼齊射
"High Velocity Rounds",高速彈藥
"Fragmentation Rounds",分裂彈藥
"Siege Cascade",圍城爆發
"Armour Piercing Rounds",穿甲彈藥
"Explosive Shot",爆炸矢
"Incendiary Shot",烈焰矢
"Rapid Shot",疾射
"Glacial Bolt",冰川弩箭
"Permafrost Bolts",永凍弩箭
"Hailstorm Rounds",冰雹彈藥
"Ice Shards",寒冰碎片
"Plasma Blast",電漿強擊矢
"Galvanic Shards",電能碎片
"Stormblast Bolts",雷暴彈藥
"Shockburst Rounds",震爆彈藥
Punch,正拳
"Quarterstaff Strike",細杖打擊
"Flail Strike",鏈錘打擊
"Sword Slash",劍刃斬
"Axe Slash",斧鉞斬
"Mace Strike",錘之打擊
"Claw Stab",利爪刺擊
"Dagger Stab",匕首刺擊
"Spear Stab",長鋒刺擊
"Bow Shot",弓箭射擊
"Crossbow Shot",十字弓射擊
"Shockchain Arrow",電鍊箭矢
"Vaulting Impact",跳躍衝擊
"Storm Wave",風暴浪湧
"Mantra of Destruction",毀滅神咒
"Life Remnants",生命痕跡
"Fulminating Concoction",烈性混合物
"Shattering Concoction",粉碎混合物
"Bleeding Concoction",流血混合物
Meditate,冥想
"Elemental Storm",元素風暴
"Unbound Avatar",無縛化身
"Summon Infernal Hound",召喚獄炎獵犬
"Time Freeze",時間凍結
"Time Snap",時間短縮
"Encase in Jade",包覆於翠玉中
"Sorcery Ward",巫術護盾
"Elemental Expression",元素表現
"Freezing Mark",冰凍印記
"Voltaic Mark",電流印記
"Demon Form",惡魔變身
"Time of Need",緊急時刻
"Explosive Grenade",爆炸擲彈
"Flash Grenade",閃光擲彈
"Oil Grenade",燃油擲彈
"Gas Grenade",毒氣擲彈
"Voltaic Grenade",電流擲彈
Attrition,損耗
"Elemental Conflux",元素匯流
"Into the Breach",遁入裂痕
"Ancestral Spirits",先祖之魂
"Emergency Reload",緊急裝填
"Cluster Grenade",集束擲彈
"Charge Infusion",充能灌注
"Shard Scavenger",碎片清除者
"Overwhelming Presence",壓倒性的存在
"Alchemist's Boon",煉金師恩惠
"Magnetic Salvo",電磁齊射
"Freezing Salvo",凍結齊射
"Herald of Plague",瘟疫之捷
"Withering Presence",凋零光環
"Combat Frenzy",戰鬥狂怒
"Gathering Storm",風暴凝聚
"Greater Lightning Bolt",雷彈
Enervation,削弱
"Chance to Freeze",冰凍機率
"Essence Harvest",精髓收割
Invocation,祈願
"Spreading Frost",擴散寒冰
"Pinpoint Critical",精確暴擊
Ignition,點火
Unbreakable,堅不可破
Bludgeon,連續重擊
Overpower,壓倒性力量
Persistence,堅持不懈
"Fast Forward",快速前進
Execute,處刑
"Searing Flame",燒灼烈焰
"Jagged Ground",鋸齒地面
"Exploit Weakness",攻其之弱
"Impact Shockwave",衝擊震波
"Fire Exposure",火焰曝曬
"Enraged Warcry",激怒戰吼
Devastate,蹂躪
"Heavy Swing",沉重揮擊
"Life Thief",生命盜竊
"Break Endurance",打破忍耐
"Eternal Flame",永恆烈焰
"Fire Infusion",火焰灌注
Premeditation,預謀
"Raging Cry",憤怒戰吼
Demolisher,爆破手
Rageforged,盛怒鍛造
"Armour Explosion",護甲爆破
"Stomping Ground",重踏地面
"Deep Cuts",深度切割
Splinter,碎骨
"Dazing Cry",目眩戰吼
"Primal Armament",原始武裝
Herbalism,藥草學輔助
Cannibalism,食人輔助
Aftershock,餘震
Conduction,傳導
Scattershot,散射
"Wind Wave",疾風之波
Envenom,毒化
Acceleration,渦輪
Deceleration,降速
Electrocute,電刑
Overabundance,過剩
Mobility,機動性
"Perpetual Charge",永恆充能
Pin,標記
"Lightning Exposure",閃電曝曬
"Neural Overload",神經超載
"Bursting Plague",爆裂瘟疫
"Deadly Herald",致命先驅
Corrosion,衰敗
Infusion,注入
Lockdown,封鎖
"Mana Bounty",魔力恩惠
"Life Bounty",生命恩惠
"Lasting Shock",持續感電
"Lightning Infusion",閃電灌注
"Life Drain",生命吸取
"Soul Drain",靈魂吸取
"Martial Tempo",武術節奏
Bullseye,正中紅心
Profusion,滿盈
Comorbidity,併發症
"Murderous Intent",殺人意圖
Crescendo,逐漸增強
"Deadly Poison",致命毒藥
"Window of Opportunity",機會之窗
Fusillade,聚靈之杖
"Combo Finisher",連擊終結輔助
Encumbrance,負擔輔助
Longshot,遠程射擊
Discombobulate,迷惑
"Break Posture",破壞姿態
Ingenuity,獨創
Glaciation,急凍化
